2026-08-12 17:00:37.929784 | Withdrawal | Account=6 | Amount=35374.4 | SUCCESS
2026-08-12 17:00:37.945023 | Withdrawal | Account=3 | Amount=1780.27 | SUCCESS
2026-08-12 17:00:37.978004 | Withdrawal | Account=3 | Amount=40010.85 | SUCCESS
2026-08-12 17:00:38.044173 | Deposit | Account=3 | Amount=89134.04 | SUCCESS
2026-08-12 17:00:38.052910 | Deposit | Account=5 | Amount=9498.95 | SUCCESS
2026-08-12 17:00:38.068946 | Deposit | Account=8 | Amount=64678.34 | SUCCESS
2026-08-12 17:00:38.250815 | Withdrawal | Account=8 | Amount=23150.04 | SUCCESS
2026-08-12 17:00:38.284229 | Deposit | Account=7 | Amount=17648.74 | SUCCESS
2026-08-12 17:00:38.327534 | Deposit | Account=5 | Amount=80382.23 | SUCCESS
2026-08-12 17:00:38.344180 | Withdrawal | Account=4 | Amount=39990.32 | SUCCESS
2026-08-12 17:00:38.354686 | Deposit | Account=4 | Amount=18915.48 | SUCCESS
2026-08-12 17:00:38.369097 | Deposit | Account=8 | Amount=56188.8 | SUCCESS
2026-08-12 17:00:38.424913 | Withdrawal | Account=4 | Amount=31025.18 | FAILED
2026-08-12 17:00:38.508563 | Deposit | Account=7 | Amount=64360.46 | SUCCESS
2026-08-12 17:00:38.545599 | Withdrawal | Account=8 | Amount=28920.25 | SUCCESS
2026-08-12 17:00:38.570615 | Deposit | Account=8 | Amount=92603.46 | SUCCESS
2026-08-12 17:26:33.051093 | Deposit | Account=6 | Amount=80263.37 | SUCCESS
2026-08-12 17:39:04.207521 | Deposit | Account=5 | Amount=87123.31 | SUCCESS
2026-08-12 17:39:04.240722 | Transfer | Account=4 | Amount=60214.39 | FAILED
2026-08-12 17:39:04.240722 | Deposit | Account=3 | Amount=46465.58 | SUCCESS
2026-08-12 17:39:04.257408 | Transfer | Account=3 | Amount=12973.83 | FAILED
2026-08-12 17:39:04.275080 | Withdrawal | Account=4 | Amount=26252.55 | SUCCESS
2026-08-12 17:39:04.279767 | Withdrawal | Account=2 | Amount=45724.12 | SUCCESS
2026-08-12 17:39:04.291695 | Transfer | Account=8 | Amount=15775.49 | FAILED
2026-08-12 17:39:04.298711 | Deposit | Account=4 | Amount=86089.57 | SUCCESS
